Codigo IATA,Descripcion del codigo,Estado ,Aniomes,Tipo Combustible,Litros de combustible suministrado,Servicios realizados
GYM,Guaymas,Sonora,201502,Turbosina,50443,43
HMO,Hermosillo,Sonora,201502,Turbosina,3075994,994
HUX,Huatulco,Oaxaca,201502,Turbosina,1838589,300
LAP,La Paz,Baja California Sur,201502,Turbosina,1528181,392
LMM,Los Mochis,Sinaloa,201502,Turbosina,689664,245
LTO,Loreto,Baja California Sur,201502,Turbosina,156798,66
LZC,Lazaro Cardenas,Michoacan,201502,Turbosina,88334,79
MAM,Matamoros,Tamaulipas,201502,Turbosina,271314,242
MEX,Mexico,Distrito Federal,201502,Turbosina,109616086,16149
MID,Merida,Yucatan,201502,Turbosina,3811533,919
MLM,Morelia,Michoacan,201502,Turbosina,1314231,387
MTT,Minatitlan,Veracruz,201502,Turbosina,532628,249
MTY,Monterrey,Nuevo Leon,201502,Turbosina,14758928,4252
MXL,Mexicali,Baja California,201502,Turbosina,1317230,262
MZT,Mazatlan,Sinaloa,201502,Turbosina,2196544,527
NLD,Nuevo Laredo,Tamaulipas,201502,Turbosina,188453,80
NOG,Nogales,Sonora,201502,Turbosina,3961,10
OAX,Oaxaca,Oaxaca,201502,Turbosina,1207238,491
PAZ,Poza Rica,Veracruz,201502,Turbosina,141835,220
PBC,Puebla,Puebla,201502,Turbosina,853890,371
PCA,Pachuca,Hidalgo,201502,Turbosina,41281,30
PPE,Puerto Penasco,Sonora,201502,Turbosina,28676,32
PQM,Palenque,Chiapas,201502,Turbosina,42747,22
PVR,Puerto Vallarta,Jalisco,201502,Turbosina,13024589,1547
PXM,Puerto Escondido,Oaxaca,201502,Turbosina,256889,91
QRO,Queretaro,Queretaro,201502,Turbosina,2181646,816
REX,Reynosa,Tamaulipas,201502,Turbosina,817826,308
SJD,San Jose Del Cabo,Baja California Sur,201502,Turbosina,8773572,1420
SLP,San Luis Potosi,San Luis Potosi,201502,Turbosina,1257098,672
TAM,Tampico,Tamaulipas,201502,Turbosina,864881,491
TAP,Tapachula,Chiapas,201502,Turbosina,573764,195
TCN,Tehuacan,Puebla,201502,Turbosina,18135,15
TGZ,Tuxtla Gutierrez,Chiapas,201502,Turbosina,2054237,501
TIJ,Tijuana,Baja California,201502,Turbosina,10735308,1476
TLC,Toluca,Estado De Mexico,201502,Turbosina,5890986,2470
TSL,Tamuin,San Luis Potosi,201502,Turbosina,10881,18
TPQ,Tepic,Nayarit,201502,Turbosina,208041,115
TRC,Torreon,Coahuila,201502,Turbosina,1101423,465
UPN,Uruapan,Michoacan,201502,Turbosina,266541,64
VER,Veracruz,Veracruz,201502,Turbosina,1897995,1093
VSA,Villahermosa,Tabasco,201502,Turbosina,2518162,751
ZCL,Zacatecas,Zacatecas,201502,Turbosina,679764,263
ZIH,Zihuatanejo,Guerrero,201502,Turbosina,2468610,449
ZLO,Manzanillo,Colima,201502,Turbosina,1134239,279
ACA,Acapulco,Guerrero,201502,Gasavion,45286,462
AGU,Aguascalientes,Aguascalientes,201502,Gasavion,7966,45
BJX,El Bajio,Guanajuato,201502,Gasavion,16442,72
CEN,Ciudad Obregon,Sonora,201502,Gasavion,289114,349
CJS,Ciudad Juarez,Chihuahua,201502,Gasavion,5133,32
CME,Ciudad Del Carmen,Campeche,201502,Gasavion,2982,12
CLQ,Colima,Colima,201502,Gasavion,41829,65
CPE,Campeche,Campeche,201502,Gasavion,6746,30
CTM,Chetumal,Quintana Roo,201502,Gasavion,13673,58
CUL,Culiacan,Sinaloa,201502,Gasavion,267838,616
CUN,Cancun,Quintana Roo,201502,Gasavion,15275,66
CUU,Chihuahua,Chihuahua,201502,Gasavion,116209,311
CVJ,Cuernavaca,Morelos,201502,Gasavion,45816,450
CVM,Ciudad Victoria,Tamaulipas,201502,Gasavion,13949,70
CZM,Cozumel,Quintana Roo,201502,Gasavion,25513,155
DGO,Durango,Durango,201502,Gasavion,40255,238
GDL,Guadalajara,Jalisco,201502,Gasavion,56116,531
GYM,Guaymas,Sonora,201502,Gasavion,40090,144
HMO,Hermosillo,Sonora,201502,Gasavion,92317,427
HUX,Huatulco,Oaxaca,201502,Gasavion,1322,10
LAP,La Paz,Baja California Sur,201502,Gasavion,47262,69
LMM,Los Mochis,Sinaloa,201502,Gasavion,157803,245
LTO,Loreto,Baja California Sur,201502,Gasavion,25918,153
LZC,Lazaro Cardenas,Michoacan,201502,Gasavion,97,2
MAM,Matamoros,Tamaulipas,201502,Gasavion,1494,8
MEX,Mexico,Distrito Federal,201502,Gasavion,20000,2
MID,Merida,Yucatan,201502,Gasavion,19226,118
MLM,Morelia,Michoacan,201502,Gasavion,10737,74
MTT,Minatitlan,Veracruz,201502,Gasavion,2533,19
MTY,Monterrey,Nuevo Leon,201502,Gasavion,90554,20
MXL,Mexicali,Baja California,201502,Gasavion,61125,114
MZT,Mazatlan,Sinaloa,201502,Gasavion,37855,51
NLD,Nuevo Laredo,Tamaulipas,201502,Gasavion,1786,8
NOG,Nogales,Sonora,201502,Gasavion,14345,42
OAX,Oaxaca,Oaxaca,201502,Gasavion,8637,75
PAZ,Poza Rica,Veracruz,201502,Gasavion,1664,16
PBC,Puebla,Puebla,201502,Gasavion,26467,252
PCA,Pachuca,Hidalgo,201502,Gasavion,8311,56
PPE,Puerto Penasco,Sonora,201502,Gasavion,21650,72
PQM,Palenque,Chiapas,201502,Gasavion,0,0
PVR,Puerto Vallarta,Jalisco,201502,Gasavion,27121,87
PXM,Puerto Escondido,Oaxaca,201502,Gasavion,6591,53
QRO,Queretaro,Queretaro,201502,Gasavion,33045,277
REX,Reynosa,Tamaulipas,201502,Gasavion,11558,49
SJD,San Jose Del Cabo,Baja California Sur,201502,Gasavion,5821,16
SLP,San Luis Potosi,San Luis Potosi,201502,Gasavion,17414,75
TAM,Tampico,Tamaulipas,201502,Gasavion,23715,140
TAP,Tapachula,Chiapas,201502,Gasavion,93136,160
TCN,Tehuacan,Puebla,201502,Gasavion,3696,38
TGZ,Tuxtla Gutierrez,Chiapas,201502,Gasavion,14944,60
TIJ,Tijuana,Baja California,201502,Gasavion,27673,126
TLC,Toluca,Estado De Mexico,201502,Gasavion,41474,284
TSL,Tamuin,San Luis Potosi,201502,Gasavion,4796,14
TPQ,Tepic,Nayarit,201502,Gasavion,24485,71
TRC,Torreon,Coahuila,201502,Gasavion,10262,59
UPN,Uruapan,Michoacan,201502,Gasavion,23290,77
VER,Veracruz,Veracruz,201502,Gasavion,33287,204
VSA,Villahermosa,Tabasco,201502,Gasavion,60150,57
ZCL,Zacatecas,Zacatecas,201502,Gasavion,3991,22
ZIH,Zihuatanejo,Guerrero,201502,Gasavion,5774,48
ZLO,Manzanillo,Colima,201502,Gasavion,7289,31
ACA,Acapulco,Guerrero,201503,Turbosina,2211787,896
AGU,Aguascalientes,Aguascalientes,201503,Turbosina,1596708,510
BJX,El Bajio,Guanajuato,201503,Turbosina,4016293,1170
CEN,Ciudad Obregon,Sonora,201503,Turbosina,699818,260
CJS,Ciudad Juarez,Chihuahua,201503,Turbosina,2135551,483
CME,Ciudad Del Carmen,Campeche,201503,Turbosina,2387410,672
CLQ,Colima,Colima,201503,Turbosina,332347,164
CPE,Campeche,Campeche,201503,Turbosina,662983,245
CTM,Chetumal,Quintana Roo,201503,Turbosina,443687,152
CUL,Culiacan,Sinaloa,201503,Turbosina,3191693,845
CUN,Cancun,Quintana Roo,201503,Turbosina,73471298,6861
CUU,Chihuahua,Chihuahua,201503,Turbosina,2856501,834
CVJ,Cuernavaca,Morelos,201503,Turbosina,145531,137
CVM,Ciudad Victoria,Tamaulipas,201503,Turbosina,249066,216
CZM,Cozumel,Quintana Roo,201503,Turbosina,2117294,438
DGO,Durango,Durango,201503,Turbosina,645926,374
GDL,Guadalajara,Jalisco,201503,Turbosina,23209911,4353
GYM,Guaymas,Sonora,201503,Turbosina,37293,38
HMO,Hermosillo,Sonora,201503,Turbosina,3609241,1102
HUX,Huatulco,Oaxaca,201503,Turbosina,2144693,340
LAP,La Paz,Baja California Sur,201503,Turbosina,1950793,495
LMM,Los Mochis,Sinaloa,201503,Turbosina,852975,287
LTO,Loreto,Baja California Sur,201503,Turbosina,193535,76
LZC,Lazaro Cardenas,Michoacan,201503,Turbosina,66589,84
MAM,Matamoros,Tamaulipas,201503,Turbosina,282086,245
MEX,Mexico,Distrito Federal,201503,Turbosina,127888768,18167
MID,Merida,Yucatan,201503,Turbosina,4255076,1032
MLM,Morelia,Michoacan,201503,Turbosina,1486163,414
MTT,Minatitlan,Veracruz,201503,Turbosina,580412,271
MTY,Monterrey,Nuevo Leon,201503,Turbosina,17538277,4815
MXL,Mexicali,Baja California,201503,Turbosina,1408602,264
MZT,Mazatlan,Sinaloa,201503,Turbosina,2570330,639
NLD,Nuevo Laredo,Tamaulipas,201503,Turbosina,197009,75
NOG,Nogales,Sonora,201503,Turbosina,5476,8
OAX,Oaxaca,Oaxaca,201503,Turbosina,1367374,560
PAZ,Poza Rica,Veracruz,201503,Turbosina,167389,246
PBC,Puebla,Puebla,201503,Turbosina,1034180,407
PCA,Pachuca,Hidalgo,201503,Turbosina,47785,57
PPE,Puerto Penasco,Sonora,201503,Turbosina,29394,38
PQM,Palenque,Chiapas,201503,Turbosina,44390,20
PVR,Puerto Vallarta,Jalisco,201503,Turbosina,14795790,1863
PXM,Puerto Escondido,Oaxaca,201503,Turbosina,347781,145
QRO,Queretaro,Queretaro,201503,Turbosina,2409228,906
REX,Reynosa,Tamaulipas,201503,Turbosina,1086639,391
SJD,San Jose Del Cabo,Baja California Sur,201503,Turbosina,12265712,1950
SLP,San Luis Potosi,San Luis Potosi,201503,Turbosina,1468611,758
TAM,Tampico,Tamaulipas,201503,Turbosina,1004309,519
TAP,Tapachula,Chiapas,201503,Turbosina,753150,255
TCN,Tehuacan,Puebla,201503,Turbosina,10590,15
TGZ,Tuxtla Gutierrez,Chiapas,201503,Turbosina,2575099,608
TIJ,Tijuana,Baja California,201503,Turbosina,12824619,1715
TLC,Toluca,Estado De Mexico,201503,Turbosina,7083045,2847
TSL,Tamuin,San Luis Potosi,201503,Turbosina,8791,12
TPQ,Tepic,Nayarit,201503,Turbosina,294237,157
TRC,Torreon,Coahuila,201503,Turbosina,1305179,538
UPN,Uruapan,Michoacan,201503,Turbosina,290469,86
VER,Veracruz,Veracruz,201503,Turbosina,2035969,1149
